text,label
Final warning: payment failed. Update card details: https://verify-dhl-account-ogvjgm.net/reset?session=fAgWIct7OyZZDErZ&redirect=account,phishing
Your OTP is 111628. Do not share this code with anyone.,safe
Your account will be blocked today. Re-verify your identity: http://login.facebook-account-update-hl6q.site/update?session=6dok6NtXeOyIN29C&redirect=home,phishing
Your parcel delivery failed. Update address now: http://secure-fnb-signin-jbri.icu/confirm?session=dGgF9L12U3czSiFX&redirect=account,phishing
Bank notice: update your KYC details to continue using your account: https://secure-netflix-signin-s3zm.com/update,phishing
Your parcel delivery failed. Update address now: http://www.dhl-confirm-identity-ve8.com/verify,phishing
Your statement is ready for viewing in the banking app.,safe
Thanks for your purchase. Your order #70852380 has shipped.,safe
Security alert: unusual login attempt. Confirm now to avoid suspension: https://absa-support-center-upsrwd.com/payment/update,phishing
Your statement is ready for viewing in the banking app.,safe
Final warning: payment failed. Update card details: https://apple-confirm-identity-hka.live/verify?session=ejyi7tIScL4h2ZDG&redirect=home,phishing
Final warning: payment failed. Update card details: http://account.verify-google-account-voxhu6.support/update?session=5GrMM5pB8Dq802NZ&redirect=home,phishing
Your parcel will be delivered between 09:30 and 16:45.,safe
You have a pending refund. Claim it here: http://standardbank-security-alert-s0s.biz/confirm?session=sm34OYEtyN6f8hCe&redirect=billing,phishing
Hi,safe
Your password expires today. Reset now: https://verify-fnb-account-rttm.support/update,phishing
URGENT: Your facebook account has been locked. Verify immediately: https://verify-fedex-account-tatu.top/auth,phishing
Bank notice: update your KYC details to continue using your account: http://microsoft-billing-issue-zxf7.site/verify,phishing
Your parcel will be delivered between 18:15 and 11:15.,safe
Your paypal session expired. Login again to continue: https://secure-capitec-signin-tqke3.co/login?session=aMIAUJrbeZa1lfSp&redirect=home,phishing
Your statement is ready for viewing in the banking app.,safe
Bank notice: update your KYC details to continue using your account: http://instagram-support-center-9ajx.co/account/verify?session=ovZ8kJJzPlshi55Z&redirect=home,phishing
Payment received. Reference: REF3371295896.,safe
Hi,safe
Security alert: unusual login attempt. Confirm now to avoid suspension: http://google-billing-issue-aaq5km.icu/confirm,phishing
Thanks for your purchase. Your order #73873891 has shipped.,safe
Security alert: unusual login attempt. Confirm now to avoid suspension: http://account.dhl-billing-issue-81np.info/confirm?session=daHAt6RYJyMUtWVK&redirect=billing,phishing
Your account will be blocked today. Re-verify your identity: http://account.fedex-support-center-kdo3.net/reset?session=tdXMufsduGpjl7O4&redirect=home,phishing
Your subscription renews on 2025-09-27.,safe
Your password expires today. Reset now: http://microsoft-security-alert-emn.xyz/secure?session=odBqhUU66g8jJJ7f&redirect=home,phishing
Final warning: payment failed. Update card details: http://amazon-security-alert-139.co/account/verify,phishing
Final warning: payment failed. Update card details: https://capitec-confirm-identity-hn1h.online/validate?session=gfUp242gfxrttWsj&redirect=account,phishing
Final warning: payment failed. Update card details: http://facebook-support-center-ovo.site/signin,phishing
Congratulations! You won R10000. Claim now: http://www.standardbank-secure-login-w8laml.info/account/verify,phishing
Final warning: payment failed. Update card details: http://paypal-secure-login-c8o5ix.click/login,phishing
Your parcel will be delivered between 10:15 and 11:00.,safe
Security alert: unusual login attempt. Confirm now to avoid suspension: http://standardbank-confirm-identity-70h.net/verify?session=yf41I1OH9pz2ohRu&redirect=billing,phishing
Thanks for your purchase. Your order #42924875 has shipped.,safe
Security alert: unusual login attempt. Confirm now to avoid suspension: http://paypal-security-alert-bse.biz/secure?session=Hy2tZQPTGLhCpFQH&redirect=billing,phishing
You have a pending refund. Claim it here: http://login.microsoft-account-update-za4ge.net/verify?session=dufPeXy9HwgTSc0H&redirect=home,phishing
Your account will be blocked today. Re-verify your identity: https://microsoft-secure-login-4gdy.biz/account/verify?session=esar27i79wxIUlix&redirect=billing,phishing
Reminder: your appointment is on 2026-04-16 at 14:00.,safe
